,social_connection_frequency,gathering_size_preference,valued_friendship_traits,conflict_resolution_style,family_support_level,social_battery_recharge,social_orientation_type,social_anxiety_level,emotional_expression_method,primary_anger_sources,target
0,Daily,Small gatherings,Support,Talk it out,Yes,Talking to someone,Introvert,Avoid it,Stay silent,Injustice,1.0
1,Daily,Both,Support,Talk it out,Yes,Talking to someone,Ambivert,Neutral,Stay silent,Being interrupted,0.0
2,Daily,Both,Loyalty,Talk it out,Sometimes,Talking to someone,Extrovert,Neutral,Talk openly,Injustice,0.0
3,Daily,Small gatherings,Honesty,Talk it out,Yes,Alone time,Extrovert,Excited,Talk openly,Selfishness,1.0
4,Daily,Small gatherings,Loyalty,Talk it out,Yes,Alone time,Not sure,Neutral,Talk openly,Unnecessary criticism,1.0
5,Daily,Both,Honesty,Talk it out,Sometimes,None of the above,Introvert,Nervous,Talk openly,Injustice,1.0
6,Daily,Both,Honesty,Apologize first,Yes,Alone time,Ambivert,Excited,Stay silent,Selfishness,0.0
7,Daily,Both,Honesty,Talk it out,Yes,Social media,Ambivert,Neutral,Talk openly,Selfishness,1.0
8,Daily,Small gatherings,Loyalty,Talk it out,Sometimes,Alone time,Introvert,Nervous,Stay silent,Selfishness,1.0
9,Weekly,Both,Loyalty,Avoid conflict,Yes,Social media,Introvert,Avoid it,Talk openly,Selfishness,0.0
10,Daily,Both,Loyalty,Talk it out,Yes,Talking to someone,Introvert,Neutral,Stay silent,Selfishness,0.0
11,Daily,Both,Support,Talk it out,Yes,None of the above,Not sure,Nervous,Stay silent,Unnecessary criticism,1.0
12,Daily,Small gatherings,Loyalty,Avoid conflict,Yes,Social media,Ambivert,Nervous,Stay silent,Unnecessary criticism,0.0
13,Daily,Both,Loyalty,Talk it out,Yes,Talking to someone,Ambivert,Neutral,"Talk openly, Express emotion strongly",Selfishness,1.0
14,Daily,Small gatherings,Support,Let time fix it,Sometimes,Alone time,Ambivert,Nervous,Stay silent,Unnecessary criticism,1.0
15,Daily,Small gatherings,Loyalty,Talk it out,Yes,Talking to someone,Ambivert,Excited,Talk openly,Selfishness,0.0
16,Daily,Both,Honesty,Talk it out,Sometimes,Social media,Introvert,Nervous,Stay silent,Selfishness,0.0
17,Daily,Small gatherings,Loyalty,Talk it out,Yes,None of the above,Ambivert,Excited,Stay silent,Unnecessary criticism,0.0
18,Daily,Small gatherings,Loyalty,Talk it out,Yes,Alone time,Ambivert,Excited,Talk openly,Selfishness,1.0
19,Daily,Both,Support,Apologize first,Yes,Alone time,Introvert,Neutral,Stay silent,Selfishness,0.0
